file,chars,qa,article,clinical,n_masks
1,4481,0,1,1,7
2,3740,0,1,0,5
3,3724,1,1,1,0
4,3676,0,1,1,1
5,3420,0,1,1,0
6,3218,1,1,1,0
7,3208,1,1,0,9
8,3110,0,1,1,0
9,3013,1,1,1,9
10,2957,0,1,1,0
11,2861,1,1,0,0
12,2844,0,1,1,0
13,2729,1,0,1,0
14,2672,1,1,1,2
15,2669,0,1,1,1
16,2661,1,0,0,1
17,2657,1,1,0,0
18,2639,0,1,1,7
19,2639,1,1,0,2
20,2608,1,0,1,0
21,2497,1,1,1,0
22,2497,1,1,1,0
23,2470,0,1,1,0
24,2465,0,1,0,1
25,2397,0,1,1,5
26,2361,0,1,1,0
27,2334,0,1,1,0
28,2329,1,1,1,2
29,2235,1,1,1,0
30,2233,1,1,1,3
31,2225,1,1,1,0
32,2200,1,1,1,0
33,2199,0,1,1,0
34,2141,1,1,1,0
35,2087,1,1,1,0
36,2040,0,1,1,0
37,2024,0,1,0,0
38,2000,1,1,1,0
39,1987,0,1,1,0
40,1983,0,1,1,2
41,1979,1,1,0,2
42,1958,0,1,1,0
43,1936,0,1,1,0
44,1933,1,1,0,3
45,1911,0,1,1,3
46,1906,0,1,1,1
47,1897,1,1,1,0
48,1888,0,0,1,0
49,1857,1,1,1,5
50,1845,0,1,1,0
51,1831,1,1,1,0
52,1825,1,1,0,0
53,1802,0,1,1,5
54,1801,0,1,1,1
55,1799,1,1,1,0
56,1755,1,1,0,0
57,1734,0,1,1,0
58,1713,0,1,1,0
59,1706,1,1,0,0
60,1704,1,0,1,0
61,1702,1,1,0,0
62,1698,0,1,1,0
63,1695,0,1,1,0
64,1690,1,1,0,1
65,1689,1,0,0,5
66,1681,1,1,0,0
67,1680,1,1,0,0
68,1667,0,1,1,0
69,1665,1,1,1,0
70,1645,0,1,1,0
71,1623,1,1,0,0
72,1618,0,1,1,2
73,1609,0,1,1,0
74,1603,0,1,1,0
75,1583,1,0,0,0
76,1582,1,1,0,3
77,1581,0,1,1,0
78,1527,1,1,1,0
79,1521,1,1,0,0
80,1520,1,0,1,0
81,1516,1,1,0,0
82,1502,0,1,1,0
83,1485,1,1,0,3
84,1477,1,0,1,0
85,1477,0,1,1,0
86,1476,1,1,0,0
87,1465,0,1,1,3
88,1450,0,1,1,0
89,1432,0,1,1,0
90,1426,1,1,1,0
91,1416,0,1,1,0
92,1399,0,1,1,0
93,1396,1,1,1,0
94,1387,0,1,0,0
95,1362,1,0,1,0
96,1325,1,1,1,0
97,1319,1,1,1,1
98,1314,1,1,1,0
99,1311,0,1,1,0
100,1293,1,1,1,4
