file,start,end,mask_len,drug_class,paren_hint,left,right
1,3455,3462,7,giảm đau/hạ sốt,,"ễm khuẩn, nhiễm virus ⏎  • Thuốc giảm đau, hạ sốt chứa","hoặc ********** ⏎  • Kháng sinh nhóm ***********, *"
1,3468,3478,10,giảm đau/hạ sốt,,"ễm virus ⏎  • Thuốc giảm đau, hạ sốt chứa ******* hoặc","⏎  • Kháng sinh nhóm ***********, ******** ⏎  • Thuốc"
1,3498,3509,11,giảm đau/hạ sốt,,sốt chứa ******* hoặc ********** ⏎  • Kháng sinh nhóm,", ******** ⏎  • Thuốc kháng sốt rét như *******, ***"
1,3511,3519,8,giảm đau/hạ sốt,,"**** hoặc ********** ⏎  • Kháng sinh nhóm ***********,","⏎  • Thuốc kháng sốt rét như *******, ***********,"
1,3547,3554,7,kháng sinh,,"hóm ***********, ******** ⏎  • Thuốc kháng sốt rét như",", ***********, ********** ⏎  • Vitamin K dùng trong"
1,3556,3567,11,kháng sốt rét,,"******, ******** ⏎  • Thuốc kháng sốt rét như *******,",", ********** ⏎  • Vitamin K dùng trong điều trị nhiễ"
1,3569,3579,10,kháng sốt rét,,"*** ⏎  • Thuốc kháng sốt rét như *******, ***********,",⏎  • Vitamin K dùng trong điều trị nhiễm khuẩn tiết
2,2350,2371,21,,,ặc biệt là bệnh viện có chuyên khoa tim mạch nhi. ⏎ 1.,– Điều trị quan trọng nhất ⏎  • Dùng liều cao truyề
2,2534,2541,7,,ASA,bệnh. ⏎  • Giảm biến chứng động mạch vành rõ rệt. ⏎ 2.,(ASA) ⏎  • Dùng liều cao giai đoạn cấp tính để giảm
2,2699,2703,4,,,3. Điều trị lặp lại nếu cần ⏎  • Một số trẻ cần truyền,lần 2 hoặc sử dụng thuốc ức chế miễn dịch khác ⏎ 7.
2,2954,2958,4,vắc xin,thường phải hoãn 9–11 tháng,định. ⏎  • Tránh tiêm vắc xin sống ngay sau khi truyền,(thường phải hoãn 9–11 tháng). ⏎  ⏎ 8. Chế độ dinh dư
2,3666,3670,4,,,"nứt, lưỡi đỏ dâu tây hoặc sưng hạch cổ. Điều trị bằng",trong 10 ngày đầu là yếu tố then chốt giúp giảm b
4,3226,3239,13,,200-300 microgam/ngày,"ng độ khoảng 4 nanogam/mL), thậm chí khi dùng liều cao","(200-300 microgam/ngày), và do đó không gây hại c"
7,1713,1719,6,,,ốc BS kê có ảnh hưởng đến em bé trong bụng em không: -,"(trong HDSD có ghi ""An toàn của ****** trên phụ n"
7,1752,1758,6,,,"ụng em không: - ****** (trong HDSD có ghi ""An toàn của","trên phụ nữ có thai chưa được thiết lập"") - *****"
7,1803,1810,7,,"*******************, ****************","của ****** trên phụ nữ có thai chưa được thiết lập"") -","(*******************, ****************) - *******"
7,1812,1831,19,,,"* trên phụ nữ có thai chưa được thiết lập"") - ******* (",", ****************) - ************** 2. Các xét ng"
7,1833,1849,16,,,"chưa được thiết lập"") - ******* (*******************,",) - ************** 2. Các xét nghiệm/siêu âm/nội s
7,1853,1867,14,,,""") - ******* (*******************, ****************) -",2. Các xét nghiệm/siêu âm/nội soi cần thiết nào c
7,2073,2083,10,,,"ng như sau: ⏎ Aquima: nhôm hydroxid, magie hydroxid và",. ⏎ Simenic: Alverin citrate 40mg và Simethicon 100m
7,2475,2485,10,,,cáo. ⏎ Hiện tại chưa có đủ nghiên cứu về việc sử dụng,trên phụ nữ mang thai. Mặc dù chưa khẳng định đượ
7,2588,2598,10,,,ược thuốc có qua nhau thai hay không nhưng hấp thu của,"qua ruột bị hạn chế, do đó làm giảm khả năng phơi"
9,1713,1719,6,,,ốc BS kê có ảnh hưởng đến em bé trong bụng em không: -,"(trong HDSD có ghi ""An toàn của ****** trên phụ n"
9,1752,1758,6,,,"ụng em không: - ****** (trong HDSD có ghi ""An toàn của","trên phụ nữ có thai chưa được thiết lập"") - *****"
9,1803,1810,7,,"*******************, ****************","của ****** trên phụ nữ có thai chưa được thiết lập"") -","(*******************, ****************) - *******"
9,1812,1831,19,,,"* trên phụ nữ có thai chưa được thiết lập"") - ******* (",", ****************) - ************** 2. Các xét ng"
9,1833,1849,16,,,"chưa được thiết lập"") - ******* (*******************,",) - ************** 2. Các xét nghiệm/siêu âm/nội s
9,1853,1867,14,,,""") - ******* (*******************, ****************) -",2. Các xét nghiệm/siêu âm/nội soi cần thiết nào c
9,2073,2083,10,,,"ng như sau: ⏎ Aquima: nhôm hydroxid, magie hydroxid và",. ⏎ Simenic: Alverin citrate 40mg và Simethicon 100m
9,2475,2485,10,,,cáo. ⏎ Hiện tại chưa có đủ nghiên cứu về việc sử dụng,trên phụ nữ mang thai. Mặc dù chưa khẳng định đượ
9,2588,2598,10,,,ược thuốc có qua nhau thai hay không nhưng hấp thu của,"qua ruột bị hạn chế, do đó làm giảm khả năng phơi"
14,2307,2323,16,,,hững tác dụng gây độc của liệu pháp điều trị.,thể hệ sau không gây buồn ngủ là lựa chọn
14,2397,2413,16,,,gây buồn ngủ là lựa chọn hàng đầu sau đó đến,"thể hệ 1, corticoid liều thấp cách ngày hoă"
15,1354,1361,7,,,ị tiếp ⏎ Theo thông tin hướng dẫn sử dụng của sản phẩm,", phụ nữ có thai chỉ được sử dụng khi có chỉ định"
16,1325,1342,17,,,huốc điều trị khi lên cơn dại.  ⏎ Phòng bệnh bằng tiêm,. Bệnh dại thường gia tăng vào mùa hè. ⏎ Bệnh dại gâ
18,505,512,7,,,ử vong ⏎  ⏎  ⏎ Điều trị nội khoa ⏎ Thuốc nền tảng ⏎  •,/ ***********  ⏎  • ******  (ổn định mảng xơ vữa) ⏎
18,515,526,11,,,⏎  ⏎ Điều trị nội khoa ⏎ Thuốc nền tảng ⏎  • ******* /,⏎  • ******  (ổn định mảng xơ vữa) ⏎  • *********  ⏎
18,531,537,6,,ổn định mảng xơ vữa,khoa ⏎ Thuốc nền tảng ⏎  • ******* / ***********  ⏎  •,(ổn định mảng xơ vữa) ⏎  • *********  ⏎  • *********
18,564,573,9,hạ mỡ/statin,,/ ***********  ⏎  • ******  (ổn định mảng xơ vữa) ⏎  •,⏎  • *************  ⏎  • ***************** / *** ⏎  ⏎  ⏎ C
18,578,591,13,hạ mỡ/statin,,• ******  (ổn định mảng xơ vữa) ⏎  • *********  ⏎  •,⏎  • ***************** / *** ⏎  ⏎  ⏎ Can thiệp – phẫu th
18,596,613,17,hạ mỡ/statin,,mảng xơ vữa) ⏎  • *********  ⏎  • *************  ⏎  •,/ *** ⏎  ⏎  ⏎ Can thiệp – phẫu thuật ⏎ Can thiệp mạch vàn
18,616,619,3,hạ mỡ/statin,,********  ⏎  • *************  ⏎  • ***************** /,⏎  ⏎  ⏎ Can thiệp – phẫu thuật ⏎ Can thiệp mạch vành qua
